N (# of atoms):
13 Fe4 0.100004 1.39949
13 Fe4 10.1004 1.3969
13 Fe4 20.1008 1.39472
13 Fe4 30.1011 1.39214
13 Fe4 40.1015 1.38995
13 Fe4 50.1019 1.38741
13 Fe4 60.1023 1.38488
13 Fe4 70.1027 1.38188
13 Fe4 80.103 1.37997
13 Fe4 90.1034 1.37678
13 Fe4 100.104 1.37461
13 Fe4 110.104 1.37171
13 Fe4 120.105 1.36842
13 Fe4 130.105 1.36516
13 Fe4 140.105 1.36209
13 Fe4 150.106 1.35964
13 Fe4 160.106 1.35665
13 Fe4 170.106 1.35258
13 Fe4 180.107 1.3502
13 Fe4 190.107 1.3472
13 Fe4 200.108 1.34403
13 Fe4 210.108 1.34021
13 Fe4 220.108 1.33668
13 Fe4 230.109 1.33358
13 Fe4 240.109 1.32916
13 Fe4 250.109 1.3256
13 Fe4 260.11 1.32382
13 Fe4 270.11 1.31802
13 Fe4 280.111 1.31489
13 Fe4 290.111 1.31236
13 Fe4 300.111 1.30922
13 Fe4 310.112 1.3041
13 Fe4 320.112 1.30271
13 Fe4 330.113 1.2997
13 Fe4 340.113 1.29479
13 Fe4 350.113 1.2925
13 Fe4 360.114 1.28837
13 Fe4 370.114 1.28599
13 Fe4 380.114 1.28183
13 Fe4 390.115 1.27859
13 Fe4 400.115 1.27331
13 Fe4 410.116 1.27214
13 Fe4 420.116 1.26792
13 Fe4 430.116 1.26596
13 Fe4 440.117 1.26276
13 Fe4 450.117 1.25894
13 Fe4 460.117 1.25672
13 Fe4 470.118 1.25501
13 Fe4 480.118 1.25139
13 Fe4 490.119 1.24888
T= 490.119 Sum_i(J(m_i, T))
   
14 Fe5 0.100004 1.26963
14 Fe5 10.1004 1.26623
14 Fe5 20.1008 1.2632
14 Fe5 30.1011 1.26027
14 Fe5 40.1015 1.25615
14 Fe5 50.1019 1.25296
14 Fe5 60.1023 1.24915
14 Fe5 70.1027 1.24582
14 Fe5 80.103 1.24201
14 Fe5 90.1034 1.23791
14 Fe5 100.104 1.23383
14 Fe5 110.104 1.22984
14 Fe5 120.105 1.22544
14 Fe5 130.105 1.22133
14 Fe5 140.105 1.21724
14 Fe5 150.106 1.21134
14 Fe5 160.106 1.2072
14 Fe5 170.106 1.20222
14 Fe5 180.107 1.19743
14 Fe5 190.107 1.19244
14 Fe5 200.108 1.1882
14 Fe5 210.108 1.18272
14 Fe5 220.108 1.17814
14 Fe5 230.109 1.1728
14 Fe5 240.109 1.16691
14 Fe5 250.109 1.1641
14 Fe5 260.11 1.15989
14 Fe5 270.11 1.15544
14 Fe5 280.111 1.15079
14 Fe5 290.111 1.14738
14 Fe5 300.111 1.14416
14 Fe5 310.112 1.13963
14 Fe5 320.112 1.13558
14 Fe5 330.113 1.13088
14 Fe5 340.113 1.12804
14 Fe5 350.113 1.12559
14 Fe5 360.114 1.12154
14 Fe5 370.114 1.11824
14 Fe5 380.114 1.11592
14 Fe5 390.115 1.11146
14 Fe5 400.115 1.10883
14 Fe5 410.116 1.10615
14 Fe5 420.116 1.10419
14 Fe5 430.116 1.10121
14 Fe5 440.117 1.09896
14 Fe5 450.117 1.09961
14 Fe5 460.117 1.09554
14 Fe5 470.118 1.09234
14 Fe5 480.118 1.08953
14 Fe5 490.119 1.09016
T= 490.119 Sum_i(J(m_i, T))
   
15 Fe6 0.100004 1.13614
15 Fe6 10.1004 1.12977
15 Fe6 20.1008 1.1229
15 Fe6 30.1011 1.11555
15 Fe6 40.1015 1.10745
15 Fe6 50.1019 1.10005
15 Fe6 60.1023 1.08987
15 Fe6 70.1027 1.0799
15 Fe6 80.103 1.06946
15 Fe6 90.1034 1.06013
15 Fe6 100.104 1.0497
15 Fe6 110.104 1.0396
15 Fe6 120.105 1.03105
15 Fe6 130.105 1.02016
15 Fe6 140.105 1.01262
15 Fe6 150.106 1.00496
15 Fe6 160.106 0.997778
15 Fe6 170.106 0.992604
15 Fe6 180.107 0.986401
15 Fe6 190.107 0.980172
15 Fe6 200.108 0.973226
15 Fe6 210.108 0.968054
15 Fe6 220.108 0.964707
15 Fe6 230.109 0.961044
15 Fe6 240.109 0.957275
15 Fe6 250.109 0.954585
15 Fe6 260.11 0.950232
15 Fe6 270.11 0.94686
15 Fe6 280.111 0.945248
15 Fe6 290.111 0.941543
15 Fe6 300.111 0.938908
15 Fe6 310.112 0.936928
15 Fe6 320.112 0.935738
15 Fe6 330.113 0.934277
15 Fe6 340.113 0.931153
15 Fe6 350.113 0.930708
15 Fe6 360.114 0.929393
15 Fe6 370.114 0.927017
15 Fe6 380.114 0.926773
15 Fe6 390.115 0.927243
15 Fe6 400.115 0.927082
15 Fe6 410.116 0.924848
